Date,Gold,Silver
2019-05-31,1291.6,14.498
2019-05-30,1290.3,14.508
2019-05-29,1281.0,14.372
2019-05-28,1277.1,14.281
2019-05-27,1284.95,14.572
2019-05-26,1284.15,14.557
2019-05-24,1283.6,14.52
2019-05-23,1285.4,14.577
2019-05-22,1274.2,14.414
2019-05-21,1273.2,14.373
2019-05-20,1277.3,14.409
2019-05-17,1275.7,14.428
2019-05-16,1286.2,14.348
2019-05-15,1297.8,14.479
2019-05-14,1296.3,14.752
2019-05-13,1301.8,14.752
2019-05-10,1287.4,14.713
2019-05-09,1285.2,14.758
2019-05-08,1281.4,14.726
2019-05-07,1285.6,14.707
2019-05-06,1283.8,14.792
2019-05-03,1281.3,14.86
2019-05-02,1272.0,14.857
2019-05-01,1284.2,14.945
